Method	Precision 	Recall	F1	Accuracy	DATASET
Simple ANN - 1	0.977	0.9784	0.9778	0.9784	Mitbih A
Simple ANN - 2	0.9759	0.9767	0.9761	0.9767	Mitbih A
Simple ANN - 3	0.9738	0.9746	0.973	0.9746	Mitbih A
Simple ANN - 4	0.977	0.9785	0.9779	0.9785	Mitbih A
Simple ANN - 1	0.965	0.9482	0.9544	0.9482	Mitbih B
Simple ANN - 2	0.9702	0.9671	0.9683	0.9671	Mitbih B
Simple ANN - 3	0.9698	0.9684	0.969	0.9684	Mitbih B
Simple ANN - 4	0.9716	0.9704	0.9709	0.9704	Mitbih B
Simple CNN - 1	0.9787	0.9794	0.9787	0.9794	Mitbih A
Simple CNN - 2	0.978	0.9788	0.9782	0.9788	Mitbih A
Simple CNN - 3	0.9771	0.9778	0.9773	0.9778	Mitbih A
Simple CNN - 4	0.9788	0.9794	0.9789	0.9794	Mitbih A
Simple CNN - 1	0.9773	0.9774	0.9773	0.9774	Mitbih B
Simple CNN - 2	0.9746	0.9729	0.9736	0.9729	Mitbih B
Simple CNN - 3	0.9761	0.9761	0.9761	0.9761	Mitbih B
Simple CNN - 4	0.9754	0.9754	0.9754	0.9754	Mitbih B
Advanced CNN - 1	0.981	0.9815	0.9808	0.9815	Mitbih A
Advanced CNN - 2	0.9846	0.9849	0.9845	0.9849	Mitbih A
Advanced CNN - 3	0.9848	0.9852	0.9847	0.9852	Mitbih A
Advanced CNN - 4	0.9853	0.9857	0.9853	0.9857	Mitbih A
Advanced CNN - 1	0.9796	0.9788	0.9791	0.9788	Mitbih B
Advanced CNN - 2	0.9761	0.9725	0.9739	0.9725	Mitbih B
Advanced CNN - 3	0.9792	0.9773	0.978	0.9773	Mitbih B
Advanced CNN - 4	0.9814	0.981	0.9812	0.981	Mitbih B
